"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
117,Vivriti Capital Private Limited,TAMIL NADU,Chennai,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",Financial Investments SPC,Cayman Islands,"18,94,15,780.0000",2449786.5345,Received in the Company
118,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Naya Global Investments I LLC,U.S.A,"18,64,85,000.0000",2388548.9007,Received in the company
119,MARKETXPANDER SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",GCF-SI,Mauritius,"18,12,43,160.0000",2379524.681,Received in the company
120,BACKWATER TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,Other information technology and computer service activities n.e.c,True Software Scandinavia AB,Sweden,"17,81,23,153.9100",2338562.4097,Received in the company
121,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Javelin Investments Private Limited,Mauritius,"18,13,40,000.0000",2322650.3882,"Received in the
company"
122,Escorts Motors Private Limited,DELHI,South West Delhi,Management consultancy activities,HNS Mauritius Ltd,Mauritius,"17,48,87,833.4400",2296086.1866,Received in the company
123,NETWORK INTELLIGENCE (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Culbro Helix Investments LLC,U.S.A,"17,34,90,661.0000",2222113.991,Received in the company
124,NETWORK INTELLIGENCE (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Culbro Helix Investments LLC,U.S.A,"17,34,90,661.0000",2222113.991,Received in the company
125,Next Events Private Limited,DELHI,South Delhi,Organization of conventions and trade shows,RELX Overseas BV,Netherland,"17,31,49,955.0000",2217750.139,Received in the company
126,Yael Real Estates Private Limited,HARYANA,Faridabad,Construction of buildings carried out,ILP III Ventures XX Pte Ltd,Singapore,"17,26,21,184.0000",2210977.501,Greenfield
,,,,on own-account basis or on a fee or contract basis,,,,,
127,Yael Real Estates Private Limited,HARYANA,Faridabad,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",ILP III Ventures XX Pte. Ltd,Singapore,"17,25,69,408.0000",2210314.3404,Greenfield
128,Yael Real Estates Private Limited,HARYANA,Faridabad,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",ILP III Ventures XX Pte. Ltd,Singapore,"17,25,69,408.0000",2210314.3404,Greenfield
129,M2P SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other information technology and
computer service activities n.e.c",Insight Luxembourg XII SARL,Luxembourg,"17,20,55,550.0000",2203732.712,Received in the company
130,Vivriti Capital Private Limited,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension funding
activities, n.e.c.","Lightrock Growth Fund I S.A., SICAV-RAIF",Luxembourg,"17,14,15,690.0000",2195537.217,Received in the company
131,BBDO INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Advertising,OMNICOM APIMA INVESTMENTS LIMITED,United Kingdom,"17,06,11,292.2500",2185234.2791,Received in the company
132,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Aditya (Mauritius) Ltd.,Mauritius,"17,00,19,462.2000",2177653.9643,Received in the company
133,KASHIPUR SITARGANJ HIGHWAYS PRIVATE LIMITED,HARYANA,Gurgaon,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways",C P Holding Limited,UAE,"16,99,03,808.7500",2176172.6445,Received in the company
134,FINOVA CAPITAL PRIVATE LIMITED,RAJASTHAN,Jaipur,Other credit granting,"NORWEST CAPITAL, LLC",U.S.A,"16,49,99,992.5000",2166269.6376,Received in the company
135,EARTH SOLAR POWER PRIVATE LIMITED,RAJASTHAN,Jaipur,Electric power generation using,TEP SOLAR INDIA MAURITIUS,Mauritius,"16,61,19,183.0000",2148482.7592,Received in the
,,,,solar energy,,,,,Company
136,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,"Alpha Wave Ventures II, LP",Cayman Islands,"16,74,49,923.6800",2144742.6395,Received in the company
137,SHINING SUN POWER (TELANGANA) PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),Electric power generation using solar energy,TEP SOLAR INDIA MAURITIUS,Mauritius,"16,34,90,572.0000",2114485.9304,Received in the Company
138,CREATORBOX SOFTWARES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Sendinblue,France,"15,50,29,771.4900",2035371.5283,Received in the company
139,"WAYCOOL FOODS AND PRODUCTS PRIVATE
LIMITED",TAMIL NADU,Chennai,Wholesale of fruits & vegetables,FINANCIAL INVESTMENTS SPC,Cayman Islands,"15,71,03,386.6300",2031878.0257,"Received in the
Company"
140,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and
maintenance to the clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"15,44,47,069.0200",1997522.8568,Received in the Company
141,"INTERNATIONAL SOLAR CORPORATION
PRIVATE LIMITED",DELHI,South Delhi,"Electric power generation using
solar energy",TEP SOLAR INDIA MAURITIUS,Mauritius,"15,18,10,802.0000",1963427.0098,"Received in the
Company"
142,JUSPAY TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Lenarco Limited,Cyprus,"14,84,28,590.7200",1919683.5812,Received in the Company
143,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND
ESTERS; GLYCOSIDES AND",Vacca Investments,Mauritius,"14,81,74,380.8000",1916395.7873,Received in the Company
,,,,VEGETABLE ALKALOIDS;,,,,,
144,ARROW INFRAESTATE PRIVATE LIMITED,DELHI,West Delhi,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",CPP Investment Board Private Holdings (4) INC,Canada,"14,88,58,663.0000",1906620.8857,Received in the company
145,SKY GATE HOSPITALITY PRIVATE LIMITED,HARYANA,Gurgaon,Restaurants without bars,Alpha Wave Ventures LP,Cayman Islands,"14,31,34,914.0000",1879205.0447,Received in the company
146,Emvantage Payments Private Limted,KARNATAKA,Bengaluru,Activities auxiliary to financial service activities n.e.c.,AMAZON ASIA-PACIFIC HOLDINGS PRIVATE LIMITED,Singapore,"13,71,92,770.0000",1801191.1858,Received in the company
147,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and
maintenance to the clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"13,73,22,873.7400",1776049.1073,Received in the Company
148,JRK SOLAR PROJECTS PRIVATE LIMITED,RAJASTHAN,Jaipur,"Electric power generation using
solar energy",TEP SOLAR INDIA MAURITIUS,Mauritius,"13,68,10,917.7600",1769427.7853,"Received in the
Company"
149,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Think India Opportunities Master Fund LP,Cayman Islands,"13,44,99,477.8000",1739533.0506,Received in the Company
150,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED,TAMIL NADU,Chennai,Wholesale of fruits & vegetables,"Lightrock Growth Fund I S.A., SICAV - RAIF FOR AND ON BEHALF OF LIGHTROCK GLOBAL FUND.",Luxembourg,"13,21,29,301.1400",1708878.6518,Received in the Company
151,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND
PLASMAS; SALICYLIC ACID, ITS SALTS AND",Vacca Investments,Mauritius,"13,01,80,163.8400",1683669.7156,Received in the Company
,,,,ESTERS; GLYCOSIDES AND VEGETABLE ALKALOIDS;,,,,,
152,KNOWLARITY COMMUNICATIONS PRIVATE LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,Gupshup Inc.,U.S.A,"12,52,39,629.9000",1619771.9056,Received in the Company
153,"Bellissimo Digital Infrastructure Development
Management Private Limited",MAHARASHTRA,Mumbai,Management consultancy activities,DSS Opportunities Investment 1,Mauritius,"12,57,22,837.3500",1610291.1491,Received in the company
154,"Bellissimo Digital Infrastructure Development Management Private
Limited",MAHARASHTRA,Mumbai,Management consultancy activities,DSS Opportunities Investment 1,Mauritius,"12,57,22,837.3500",1610291.1491,Received in the company
155,Xpedize Ventures Private Limited,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",SOFTWARE IS CORRECT INC,U.S.A,"12,41,22,452.3200",1605323.0218,Received in the Company
156,Xpedize Ventures Private Limited,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Software Is Correct Inc.,U.S.A,"12,41,22,452.3200",1589792.997,Received in the company
157,Amagi Media Labs Private Limited,KARNATAKA,Bengaluru,Advertising,Avataar Venture Partners I,Mauritius,"12,08,40,663.3200",1547758.9808,Received in the company
158,VILLAIN LIFESTYLE PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of perfumes and
cologne de-eau",MENSA BRAND TECHNOLOGIES PTE LTD,Singapore,"11,45,67,918.9400",1481750.5971,"Received in the
Company"
159,RAINBOW CHILDREN'S MEDICARE LIMITED,TELANGANA,Hyderabad,Hospital activities,CDC INDIA OPPORTUNITIES LIMITED,United Kingdom,"11,02,96,250.0000",1448069.2629,"Received in the
company"
160,JUSPAY TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",VEF AB (PUBL),Sweden,"11,09,02,341.3100",1420466.34,Received in the company
161,API HOLDINGS LIMITED,MAHARASHTRA,Mumbai,"Other land transport services
n.e.c","B Capital Asia II, Ltd",U.S.A,"10,71,08,907.7500",1406222.9413,"Received in the
company"
162,INCRED CAPITAL,MAHARASHTRA,Mumbai,Other credit,ANSHU JAIN,United,"10,18,98,811.0000",1337820.0631,Received in
,FINANCIAL SERVICES PRIVATE LIMITED,,,granting,,Kingdom,,,the company
163,PREFERENCE HOLDING PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Real estate activities with own or leased property,BEYOND 100 FZE,UAE,"9,86,91,072.0000",1295705.9545,Received in the company
164,FERNS N PETALS PVT LTD,DELHI,South West Delhi,"Manufacture of biscuits, cakes, pastries, rusks etc.","LIGHTHOUSE INDIA FUND III, LIMITED",Mauritius,"9,44,25,230.4000",1221237.5228,Received in the Company
165,"3M DIGITAL
NETWORKS PRIVATE LIMITED",KARNATAKA,Bengaluru,Web-page designing,"Belgacom International
Carrier Services Asia Pte Ltd",Singapore,"9,21,65,082.7500",1192006.1712,"Received in
the Company"
166,TULSI PALACE RESORT PRIVATE LIMITED,RAJASTHAN,Jaipur,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",BSREP III JOY TWO HOLDINGS(DIFC) LIMITED,UAE,"9,20,00,000.0000",1189871.093,Received in the Company
167,HOWDEN INSURANCE BROKERS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Activities of insurance agents and brokers,Howden Broking Group Ltd,United Kingdom,"9,18,84,000.0000",1188370.8207,Received in the Company
168,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,NHPEA Rimo Holding B.V.,Netherland,"9,23,42,318.9500",1182744.6948,Received in the company
169,HORIZON INDUSTRIAL PARKS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,BREP Asia II EIP Holding (NQ) Pte Ltd,Singapore,"8,97,36,005.0000",1160589.9821,Received in the Company
170,Xpedize Ventures Private Limited,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Software Is Correct Inc.,U.S.A,"8,95,30,293.6000",1157929.4381,Received in the Company
171,Pepper Content Private Limited,DELHI,North West Delhi,"Other professional, scientific and technical activities
n.e.c.",BVP India Holdings,Mauritius,"8,81,63,782.2400",1157494.1411,Received in the company
172,Vivriti Capital Private Limited,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension funding
activities, n.e.c.","Creation Investments India III, LLC",U.S.A,"8,91,69,150.0000",1142101.9128,Received in the company
173,JUSPAY TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Lenarco Limited,Cyprus,"8,53,13,502.5800",1103392.0713,Received in the Company
174,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,D1 Capital Partners Master LP,Cayman Islands,"8,36,53,706.7900",1098281.7777,Received in the company
175,FUJI ELECTRIC CONSUL NEOWATT PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of other electrical equipment,Fuji Electric Co. Ltd.,Japan,"8,32,43,968.5500",1066210.6312,Received in the company
176,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related
products",Motul Asia Pacific Pte. Ltd,Singapore,"7,80,71,961.0000",1024999.5536,Received in the company
177,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Vacca Investments,Mauritius,"7,82,19,671.0400",1011644.8421,Received in the Company
178,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Aditya (Mauritius) Ltd.,Mauritius,"7,85,69,553.6500",1006339.4965,Received in the company
179,ValueFirst Digital Media Private Limited,DELHI,South West Delhi,Data processing activities including report writing,TWILIO IRELAND LIMITED,Ireland,"7,77,50,075.0000",1005571.3774,Received in the Company
180,Vista India Digitek Pvt. Ltd.,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities",ZOO Digital Group PLC,United Kingdom,"7,75,91,801.2000",1003524.362,Received in the Company
,,,,n.e.c.,,,,,
181,JUSPAY TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,VEF AB (publ),Sweden,"7,70,24,793.1100",986553.7974,Received in the company
182,FINOVA CAPITAL PRIVATE LIMITED,RAJASTHAN,Jaipur,Other credit granting,MAJ INVEST FINANCIAL INCLUSION FUND III K/S,Denmark,"7,50,00,826.2500",984678.9096,Received in the company
183,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Internet Fund VII Pte Ltd,Singapore,"7,60,73,852.4000",983892.1511,Received in the Company
184,IMAGEPROVISION TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and
maintenance to the clients",IMAGEPROVISION INC,U.S.A,"7,49,04,888.0000",983419.3452,Received in the company
185,SRI ENERGY VALVES PVT LTD,TAMIL NADU,Pudukkottai,"Manufacture of other pumps, compressors, taps
and valves etc.",Sri Energy Inc,U.S.A,"7,55,20,500.0000",967286.4158,Received in the company
186,"EXIMMG EDUCATIONAL CONSULTANTS
PRIVATE LIMITED",MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,Sparrowhawk 3 Limited and Oxford International Education & Travel Limited,United Kingdom,"7,22,36,686.5300",948388.7749,Received in the company
187,SBFC Finance Private Limited,MAHARASHTRA,Mumbai,Other credit granting,Malabar India Fund Limited,Mauritius,"6,87,67,240.0000",902838.7324,Received in the company
188,QFIX INFOCOMM PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Pine Labs Limited,Singapore,"6,81,90,450.3000",895266.1138,Received in the company
189,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"6,78,68,255.6800",891036.0504,Received in the company
190,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening
activities), n.e.c.",Financial Investments SPC,Cayman Islands,"6,54,56,098.3500",838378.9139,Received in the company
191,QUICKO TECHNOSOFT,KARNATAKA,Bengaluru,Other information,F-Prime Capital Partners,U.S.A,"6,53,63,742.0000",837195.9895,Received in
,LABS PRIVATE LIMITED,,,technology and computer service activities n.e.c,Tech Fund II LP,,,,the company
192,"GARAGEPRENEURS
INTERNET PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other information
service activities n.e.c.",Zinal Growth Partners Limited,United Kingdom,"6,15,68,945.7000",788591.2409,"Received in
the company"
193,BACKWATER TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,"Other information technology and computer service
activities n.e.c",True Software Scandinavia AB,Sweden,"6,09,65,193.7300",788486.1054,Received in the Company
194,VASTRAKALA EXPORTS PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Embroidery work and making of laces and fringes,LESAGE PARIS,France,"6,10,17,557.2600",781528.9129,Received in the company
195,QFIX INFOCOMM PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",PINE LABS LIMITED,Singapore,"5,78,97,366.7100",760129.1715,Received in the company
196,INDIA LUXCO RETAIL PRIVATE LIMITED,DELHI,South Delhi,"Retail sale of jewellery and
imitation jewellery",Bulgari S.p.A.,Italy,"5,55,18,372.0000",718040.2823,"Received in the
Company"
197,Juicy Chemistry Private Limited,TAMIL NADU,Coimbatore,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath salts and other bath prepa",Verlinvest S.A,Belgium,"5,47,92,542.1700",708652.8483,Received in the Company
198,REED MANCH EXHIBITIONS PRIVATE LIMITED,DELHI,Central Delhi,Organization of conventions and trade shows,RELX Overseas BV,Netherland,"5,46,03,750.0000",706211.1271,Received in the Company
199,FICUS PAX PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc.",UFP Global Holdings Limited,United Kingdom,"5,36,20,855.0000",693498.9711,Received in the Company
