"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
443,,Signzy Technologies Private Limited,,MAHARASHTRA,,Pune,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,KALAARI CAPITAL PARTNERS III LLC,,Mauritius,,"1,15,820.8000",,1536.6453,,Received in the company,
444,,JHUTPAT TECHNOLOGIES,,DELHI,,North West Delhi,,Courier activities,,Atlantis Yodaa Pte Limited,,Singapore,,"1,10,934.9000",,1471.822,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,PRIVATE LIMITED,,,,,,,,,,,,,,,,the company,
445,,MPHASIS LIMITED,,KARNATAKA,,Bengaluru,,Providing software support and maintenance to the clients,,BCP Topco IX Pte. Ltd.,,Singapore,,"1,09,015.4000",,1455.1821,,Received in the company,
446,,DIGITIBLE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,DIGITIBLE PTE. LTD.,,Singapore,,"1,00,000.0000",,1342.3449,,Received in the Company,
447,,COREDGE.IO INDIA PRIVATE LIMITED,,UTTAR PRADESH,,Ghaziabad,,Other information technology and computer service activities n.e.c,,Coredge.io Inc,,U.S.A,,99990,,1342.2107,,Received in the Company,
448,,"Caelum Arpit Brand Technologies Private
Limited",,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,99980,,1342.0765,,"Received in the
Company",
449,,Lepus Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,99980,,1342.0765,,Received in the Company,
450,,Satsure Analytics India Private Limited,,ANDHRA PRADESH,,Krishna,,Other information service activities n.e.c.,,SatSure AG,,Switzerland,,99900,,1341.0026,,Received in the Company,
451,,Biocon Biologics Limited,,KARNATAKA,,Bengaluru,,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas;
salicylic acid, its",,Vijay Kumar Kuchroo,,U.S.A,,"1,00,000.0000",,1334.8408,,Received in the company,
452,,EasyDent Private Limited,,HARYANA,,Gurgaon,,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces,
dental instruments, artific",,"TechCo Holdings, Inc.",,U.S.A,,"1,00,000.0000",,1334.8408,,Received in the company,
453,,World at Work Private limited,,MAHARASHTRA,,Pune,,"Other professional, scientific and technical activities n.e.c.",,"World at Work, Inc",,U.S.A,,"1,00,000.0000",,1334.8408,,Received in the company,
454,,"ACCERNAI SOFTWARE
SOLUTIONS INDIA PRIVATE LIMITED",,KARNATAKA,,Bengaluru,,"Other information technology
and computer service activities n.e.c",,ACCERN CORPORATION,,U.S.A,,99990,,1334.7073,,"Received in
the company",
455,,ZAPSCALE PRIVATE LIMITED,,UTTAR,,Gautam Buddha,,Providing software support,,ZAPSCALE INC,,U.S.A,,99990,,1334.7073,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,PRADESH,,Nagar,,and maintenance to the clients,,,,,,,,,,the company,
456,,Archernar Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,99980,,1334.5738,,Received in the company,
457,,Pyxis Brand Technologies Private Limited,,KARNATAKA,,Bengaluru,,Manufacture of wearing apparel n.e.c.,,Mensa Brand Technologies Pte Ltd,,Singapore,,99980,,1334.5738,,Received in the company,
458,,BLINZELN HEALTH PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Blink Health India Holdco, Inc (formerly known as Blink Health Holdco LLC)",,U.S.A,,99900,,1333.506,,Received in the company,
459,,ALFAHIVE PRIVATE LIMITED,,Karnataka,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,AlfaHive Inc,,Canada,,99000,,1328.9215,,Received in the Company,
460,,Expronto Technologies Private Limited,,MADHYA PRADESH,,Hoshangabad,,Other information technology and computer service activities n.e.c,,Expronto Technologies Inc.,,U.S.A,,98990,,1328.7873,,Received in the Company,
461,,EVERYONDR CAPITAL ADVISORS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Activities auxiliary to financial service activities n.e.c.,,EverYondr Holdings Pte Ltd,,Singapore,,"1,00,000.0000",,1326.7438,,Received in the company,
462,,AEC BUILD SOURCE CONSULTING PRIVATE LIMITED,,DELHI,,South West Delhi,,Architectural and engineering activities and related technical consultancy,,Aerial Genomics Inc.,,U.S.A,,99990,,1326.6112,,Received in the company,
463,,Lionheart Shipping Private Limited,,MAHARASHTRA,,Mumbai,,Other business support service activities n.e.c,,Aktieselskabet af 5. august 2021,,Denmark,,99990,,1326.6112,,Received in the company,
464,,LISTED DOTFANS PRIVATE LIMITED,,DELHI,,East Delhi,,"Other information technology and computer service
activities n.e.c",,Listed INC.,,U.S.A,,99900,,1325.4171,,"Received in the
company",
465,,PINKNBLU INFOMEDIA PRIVATE LIMITED,,MADHYA PRADESH,,Ujjain,,Other information technology and computer service activities n.e.c,,Pinknblu Infotech Pte ltd,,Singapore,,99000,,1321.4924,,Received in the company,
466,,RCH Service India Private Limited,,TAMIL NADU,,Chennai,,"Other information technology
and computer service activities n.e.c",,ROC CAPITAL HOLDINGS LLC,,U.S.A,,99000,,1321.4924,,"Received in
the company",
467,,SDF DATA SERVICES PRIVATE LIMITED,,KERALA,,Thiruvananthapuram,,Other information technology and computer service activities n.e.c,,SmartDataFactory GmbH,,Germany,,99000,,1321.4924,,Received in the company,
468,,YSECIT SOFTWARES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Computer consultancy and computer facilities management activities,,Ramlakhan Susilnath Akkilanand,,SURINAME,,98299.9,,1319.5237,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
469,,RINC TECHNOLOGIES PRIVATE LIMITED,,TELANGANA,,Hyderabad,,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",,RAMANUJAN INC.,,U.S.A,,99000,,1313.4764,,Received in the company,
470,,Retter Technology Consulting Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Harness Inc.,",,U.S.A,,87915.24,,1173.5285,,Received in the company,
471,,SCIC TRADEX INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Wholesale of other basic/manufactured food stuffs n.e.c.,,PRASERT PIYASACHADESH,,Thailand,,74000,,993.3353,,Received in the Company,
472,,ALPHA RESOURCE SOLUTIONS PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,Human resources provision and management of human resources functions,,HBHC JVCO LIMITED,,United Kingdom,,70250,,942.9973,,Received in the Company,
473,,ALPHA RESOURCE SOLUTIONS PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,Human resources provision and management of human resources functions,,HBHC JVCO LIMITED,,United Kingdom,,70250,,937.7257,,Received in the company,
474,,TERRAPAY SOLUTIONS INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Terra Payment Services (Netherlands) B.V.,,Netherland,,67600,,907.4252,,Received in the Company,
475,,Spry Therapeutics Private Limited,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,Spry Therapeutics Inc.,,U.S.A,,62820,,833.4605,,Received in the company,
476,,NAFADIAN ADVISORY PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Management consultancy activities,,XUXIA KUANG,,U.S.A,,60000,,800.9045,,Received in the company,
477,,BOVITACKLE WORLD PRIVATE LIMITED,,KERALA,,Ernakulam,,Retail sale of sporting equipment in specialized stores,,LIM HAN SIONG,,Singapore,,60000,,796.0463,,Received in the company,
478,,JSAT AUTOMATION (INDIA) PRIVATE LIMITED,,MAHARASHTRA,,Pune,,"Other information technology
and computer service activities n.e.c",,JSAT AUTOMATION INC,,U.S.A,,55000,,734.1624,,"Received in
the company",
479,,Akudo Technologies Private Limited,,HARYANA,,Sonipat,,"RESEARCH AND EXPERIMENTAL
DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING",,"AKUDO TECHNOLOGIES, INC",,U.S.A,,54856.36,,732.2451,,Received in the company,
480,,Papersoft Technologies Private Limited,,HARYANA,,Gurgaon,,Other information technology and computer service activities n.e.c,,True North Marine Inc,,Canada,,55000,,729.7091,,Received in the company,
481,,SUVEGA TECHNOLOGIES PRIVATE LIMITED,,ANDHRA PRADESH,,Guntur,,"Other information technology
and computer service activities n.e.c",,SUVEGA INC,,U.S.A,,52094.23,,699.2843,,"Received in
the Company",
482,,IOTRL CONNECT PRIVATE,,TELANGANA,,Hyderabad,,Computer consultancy and,,IoT Research Labs Inc,,U.S.A,,52462.01,,696.0365,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,LIMITED,,,,,,computer facilities management activities,,,,,,,,,,the company,
483,,Akudo Technologies Private Limited,,HARYANA,,Sonipat,,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,,"AKUDO TECHNOLOGIES, INC",,U.S.A,,50660.58,,680.0397,,Received in the Company,
484,,AUTOVIO MOTORS PRIVATE LIMITED,,ANDHRA PRADESH,,Visakhapatnam,,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",,TAI SAY GROUP PTE LTD,,Singapore,,50000,,671.1725,,Received in the Company,
485,,AUTOVIO MOTORS PRIVATE LIMITED,,ANDHRA PRADESH,,Visakhapatnam,,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust
pipes, catalysers, clutches, ste",,TAI SAY GROUP PTE LTD,,Singapore,,50000,,671.1725,,Received in the Company,
486,,BAM DLR CHENNAI PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other data processing, hosting and related activities n.e.c.",,Mercury India SG FDI Pte Ltd,,Singapore,,50000,,671.1725,,Received in the Company,
487,,BAM DLR DATA CENTER SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Human resources provision
and management of human resources functions",,Mercury India SG FDI Pte Ltd,,Singapore,,50000,,671.1725,,"Received in
the Company",
488,,Impiger Consulting Services Private Limited,,TAMIL NADU,,Chennai,,Other information technology and computer service activities n.e.c,,Impiger Technologies Inc.,,U.S.A,,50000,,671.1725,,Received in the Company,
489,,NEXUS INDIA RETAIL MANAGEMENT SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",,BREP Asia SG Kohinoor Holding (NQ) Pte. Ltd,,Singapore,,50000,,671.1725,,Received in the Company,
490,,OHM GLOBAL MOBILITY PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Manufacture of commercial vehicles such as vans, lorries,
over-the-road tractors for semi-trailers etc.",,OHM International Mobility Limited,,United Kingdom,,50000,,671.1725,,Received in the Company,
491,,OHM GLOBAL MOBILITY PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for
semi-trailers etc.",,OHM International Mobility Limited,,United Kingdom,,50000,,671.1725,,Received in the Company,
492,,Sheeva Connected India,,DELHI,,South Delhi,,Computer consultancy and,,PARKOFON INC,,U.S.A,,50000,,671.1725,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Private Limited,,,,,,computer facilities management activities,,,,,,,,,,the Company,
493,,Impiger Consulting Services Private Limited,,TAMIL NADU,,Chennai,,Other information technology and computer service activities n.e.c,,Impiger Technologies Inc.,,U.S.A,,49999,,671.159,,Received in the Company,
494,,GS Shipmanagement Private Limited,,TAMIL NADU,,Kanchipuram,,Service activities incidental to water transportation,,GS SHIPMANAGEMENT PTE. LTD.,,Singapore,,49990,,671.0382,,Received in the Company,
495,,TECHNEDGE SOLUTIONS INDIA PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,Other information technology and computer service activities n.e.c,,Hicounselor INC.,,U.S.A,,49990,,671.0382,,Received in the Company,
496,,cognetry labs private limited,,KERALA,,Thiruvananthapuram,,"Providing software support and maintenance to the
clients",,COGNETRY LABS INC,,U.S.A,,49900,,669.8301,,"Received in the
Company",
497,,African Caribbean Aloe Sales (India) Private Limited,,DELHI,,Central Delhi,,"Other retail sale not in stores, stalls or markets",,African Caribbean Aloe Development B.V.,,Netherland,,50000,,667.4204,,Received in the company,
498,,BAM DLR CHENNAI PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other data processing, hosting and related activities n.e.c.",,Mercury India SG FDI Pte Ltd,,Singapore,,50000,,667.4204,,Received in the company,
499,,BAM DLR DATA CENTER SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Human resources provision and management of human resources functions,,Mercury India SG FDI Pte Ltd,,Singapore,,50000,,667.4204,,Received in the company,
500,,DYNAMIC OCTOPUS TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,PT Sentral Informa Digital,,Indonesia,,50000,,667.4204,,Received in the company,
501,,EFFECTIV AI INDIA PRIVATE LIMITED,,Telangana,,Hyderabad,,Other information technology and computer service activities n.e.c,,ABRA INNOVATIONS INC,,U.S.A,,50000,,667.4204,,Received in the company,
502,,LOOPNOW TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Web hosting activities,,LOOP NOW TECHNOLOGIES INC,,U.S.A,,50000,,667.4204,,Received in the company,
503,,POZIOM VENTURES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,POZIOM INC.,,U.S.A,,50000,,667.4204,,Received in the company,
504,,Big Viking Games Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Big Viking Games Inc.,,Canada,,49990,,667.2869,,Received in the company,
505,,Clarium Tech Private Limited,,TAMIL NADU,,Chennai,,Other information technology and computer service activities n.e.c,,Clarium Managed Services LLC,,U.S.A,,49990,,667.2869,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
506,,NEXUS INDIA RETAIL MANAGEMENT SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",,BREP Asia SG Kohinoor Holding (NQ) Pte. Ltd.,,Singapore,,49700,,667.1454,,Received in the Company,
507,,RODRICKS ENTERPRISES PRIVATE LIMITED,,KERALA,,Thiruvananthapuram,,Other reservation service and related activities,,AHMED ABDULLA,,Maldives,,49840,,665.2847,,Received in the company,
508,,BEHTAR TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,NEXT BILLION TECH PTE LTD,,Singapore,,50000,,663.3719,,Received in the company,
509,,BEHTAR TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,NEXT BILLION TECH PTE LTD,,Singapore,,50000,,663.3719,,Received in the company,
510,,Big Viking Games Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Big Viking Games Inc.,,Canada,,50000,,663.3719,,Received in the company,
511,,GUIDEPOINT INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Management consultancy activities,,GUIDEPOINT GLOBAL LLC,,U.S.A,,50000,,663.3719,,Received in the company,
512,,INTERACTIVE BUSINESS SYSTEMS PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,Planet Equity Group LLC,,U.S.A,,50000,,663.3719,,Received in the company,
513,,Sheeva Connected India Private Limited,,DELHI,,South Delhi,,Computer consultancy and computer facilities management activities,,Parkofon Inc.,,U.S.A,,50000,,663.3719,,Received in the company,
514,,EFFECTIV AI INDIA PRIVATE LIMITED,,Telangana,,Hyderabad,,Other information technology and computer service activities n.e.c,,ABRA INNOVATIONS INC,,U.S.A,,49990,,663.2392,,Received in the company,
515,,NOBLUFF GAMING PRIVATE LIMITED,,DELHI,,East Delhi,,Publishing of computer games for all platforms,,Fortumax Technologies Pte Limited,,Singapore,,49990,,663.2392,,Received in the company,
516,,cognetry labs private limited,,KERALA,,Thiruvananthapuram,,Providing software support and maintenance to the clients,,COGNETRY LABS INC,,U.S.A,,49900,,662.0452,,Received in the company,
517,,OT SERVICES INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,NADATHUR FAREAST PTE LTD,,Singapore,,48732,,650.4946,,Received in the company,
518,,"NOVALINDIA AGRO CONSULTING PRIVATE
LIMITED",,KARNATAKA,,Bengaluru,,"Other supporting activities including agricultural
gardening (excluding parks",,Agroleader Holding B.V.,,Netherland,,48770,,647.053,,"Received in the
company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,"and gardening activities), n.e.c.",,,,,,,,,,,
519,,YAADGAAR ESTATES PRIVATE LIMITED,,DELHI,,South Delhi,,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",,JEAN LUC HELIE BEN HAIM,,France,,48700,,646.1242,,Received in the company,
520,,Isafety Systems Private Limited,,TELANGANA,,Hyderabad,,Computer consultancy and computer facilities management activities,,Propharma MIS Holdings LLC,,U.S.A,,47952.59,,643.6892,,Received in the Company,
521,,CANCRIE PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,MANUFACTURE OF CHEMICAL ELEMENTS AND COMPOUNDS DOPED FOR USE IN ELECTRONICS,,CANCRIE INC.,,U.S.A,,47500,,634.0494,,Received in the company,
522,,CANCRIE PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,"MANUFACTURE OF CHEMICAL ELEMENTS AND COMPOUNDS DOPED FOR USE IN
ELECTRONICS",,CANCRIE INC.,,U.S.A,,47500,,634.0494,,Received in the company,
523,,Commusoft Private Limited,,TAMIL NADU,,Kanchipuram,,"Other information technology and computer service
activities n.e.c",,COMMUSOFT LIMITED,,United Kingdom,,45000,,597.0347,,"Received in the
company",
524,,ReNew Power Private Limited,,DELHI,,South West Delhi,,"Electric power generation using other non conventional
sources",,RENEW ENERGY GLOBAL PLC,,United Kingdom,,44751.86,,593.7425,,"Received in the
company",
525,,Akudo Technologies Private Limited,,HARYANA,,Sonipat,,"RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL
SCIENCES AND ENGINEERING",,"AKUDO TECHNOLOGIES, INC",,U.S.A,,42993.64,,573.8967,,Received in the company,
526,,DAYWORKS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other business support service activities n.e.c,,Weekday Inc,,U.S.A,,42500,,570.4966,,"Received in
the Company",
527,,TSOLITSS INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Thiagaraj G,,Switzerland,,40500,,543.6497,,Received in the Company,
528,,SEVEN OAKS PET HOSPITAL PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Veterinary activities,,Sreenivas R Kanuganti and Sandhya Boyapalle,,U.S.A,,40590,,541.8119,,Received in the company,
529,,INTOSYA MARKET DEVELOPMENT SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Thane,,Management consultancy activities,,ARTHUR LOOSEN,,Switzerland,,40000,,533.9363,,Received in the company,
530,,CARPL.AI PRIVATE LIMITED,,DELHI,,South West Delhi,,RESEARCH AND EXPERIMENTAL,,CARPL.AI INC.,,U.S.A,,40000,,530.6975,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,,,,,,,,,,company,
531,,CARPL.AI PRIVATE LIMITED,,DELHI,,South West Delhi,,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,,CARPL.AI INC,,U.S.A,,39990,,530.5649,,Received in the company,
532,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,36076,,481.5572,,Received in the company,
533,,FAUNATECH SOLUTIONS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Repair and maintenance of measuring, testing, navigating and control equipment of group 265",,Jana Sciences LLC,,U.S.A,,34384.29,,461.5558,,Received in the Company,
534,,INNOVATIVE LOGIC DESIGN SERVICES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,INNOVATIVE LOGIC INC,,U.S.A,,33978.83,,456.1131,,Received in the Company,
535,,KEYSTROKE PRO INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,"Other data processing, hosting and related activities n.e.c.",,PEREGRINE ANTONY SIMON ROWSE,,United Kingdom,,29125,,388.7724,,"Received in the
company",
536,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,26830.1,,360.1525,,"Received in the
Company",
537,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,26830.1,,355.9667,,"Received in the
company",
538,,BSCC OFFSHORE PRIVATE LIMITED,,GUJARAT,,Mahesana,,Services incidental to off shore oil extraction,,"COMPANY SPETSMONTAZHPROEKT LLC (OOO KOMPANIYA
SPETSMONTAJPROEKT)",,Russia,,26000,,349.0097,,Received in the Company,
539,,Studio SleevesUp Private Limited,,KARNATAKA,,Bengaluru,,Providing software support and maintenance to the clients,,SleevesUp Pty Limited,,Australia,,25000,,333.7102,,Received in the company,
540,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,24391,,327.4114,,Received in the Company,
541,,Studio SleevesUp Private Limited,,KARNATAKA,,Bengaluru,,Providing software support and maintenance to the clients,,SleevesUp Pty Limited,,Australia,,24500,,327.036,,Received in the company,
542,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,24306.48,,326.2768,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,,,,,,,,,,,Company,
543,,DELPHIX SOFTWARE PRIVATE LIMITED,,DELHI,,Central Delhi,,Providing software support and maintenance to the clients,,DELPHIX INTERNATIONAL HOLDING INC,,U.S.A,,23741,,318.6861,,Received in the Company,
544,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,Norwest Capital LLC,,U.S.A,,20519,,273.896,,Received in the company,
545,,AKATSUKI INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Advertising,,"Akatsuki, Inc.",,Japan,,20000,,265.3488,,Received in the company,
546,,CARPL.AI PRIVATE LIMITED,,DELHI,,South West Delhi,,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,,CARPL.AI INC.,,U.S.A,,20000,,265.3488,,Received in the company,
547,,AAB INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR India Fund SPV 12 Pte. Ltd.,,Singapore,,17410.28,,233.706,,Greenfield,
548,,SKYSCEND PAY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Skyscend Pay, Inc.",,U.S.A,,16998.3,,226.9002,,Received in the company,
549,,STACKFIN TECHNOLOGY PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Software installation,,STACK FINANCE INC.,,U.S.A,,15444.54,,207.319,,Received in the Company,
550,,GOURMADS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other semi-processed, processed or instant foods
n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc.
(this excludes the",,M/s Colaba Pty. Ltd.,,Australia,,15000,,200.2261,,Received in the company,
551,,DAYWORKS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other business support service activities n.e.c,,Weekday Inc,,U.S.A,,15000,,199.0116,,Received in the company,
552,,DATAMOTIVE TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,SAMEER ZAVERI,,U.S.A,,12500,,166.8551,,Received in the company,
553,,REVIRTSPACE PRIVATE LIMITED,,DELHI,,West Delhi,,"Other information technology
and computer service activities n.e.c",,Revirt Technologies Inc,,U.S.A,,12398.76,,165.5037,,"Received in
the company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
554,,Qwinix Technologies Private Limited,,KARNATAKA,,Mysuru,,Providing software support and maintenance to the clients,,QWINIX INNOVATIONS INC,,U.S.A,,11839,,158.9202,,Received in the Company,
555,,AIRTRIBE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Airtribe, Inc.",,U.S.A,,11798.82,,157.4955,,Received in the company,
556,,CDX LABS PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Other information technology and computer service activities n.e.c,,Cloudanix Inc,,U.S.A,,11588.4,,155.5563,,Received in the Company,
557,,REDEFINED TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"PALASH, INC",,U.S.A,,10948.91,,146.9721,,Received in the Company,
558,,APPSIAN TECH PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,GREYHELLER LLC,,U.S.A,,10000,,134.2345,,Received in the Company,
559,,ANITAB WOMENS TECHNOLOGY PROGRAMMES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other social work activities without accommodation n.e.c.,,Anita Borg Institute for Women and Technology,,U.S.A,,9999,,134.2211,,Received in the Company,
